pair_id	rows	cols	config
57982058532	4063	2	
57982058568	3955	2	
55834574860	3950	2	
38654705702	3713	2	
75161927683	3636	2	
45097156619	3523	2	
55834574872	3440	2	
135291469860	3401	2	
45097156611	3197	2	
6442450997	3172	2	
135291469831	3149	2	
38654705709	3141	2	
57982058539	3011	2	3
57982058519	2965	2	2
55834574857	2903	2	6
83751862327	2876	2	2
64424509510	2875	2	2
83751862312	2866	2	2
32212254752	2837	2	2
6442451003	2820	2	2
30064771095	2818	2	2
70866960422	2809	2	3
25769803846	2790	2	2
57982058511	2784	2	3
81604378636	2778	2	2
8589934659	2771	2	2
169651208206	2763	2	2
32212254801	2756	2	2
90194313224	2748	2	3
161061273621	2747	2	2
25769803857	2745	2	2
100931731503	2742	2	2
79456895021	2700	2	2
107374182449	2691	2	2
182536110095	2638	2	3
55834574864	2587	2	3
38654705716	2583	2	3
60129542158	2560	2	2
133143986189	2547	2	6
38654705673	2524	2	2
154618822657	2511	2	2
94489280535	2493	2	6
49392123911	2486	2	2
120259084295	2477	2	2
90194313273	2476	2	3
90194313237	2423	2	3
55834574921	2415	2	2
150323855389	2401	2	2
57982058497	2399	2	2
120259084302	2398	2	3
92341796867	2394	2	6
51539607560	2394	2	2
30064771112	2388	2	2
6442450959	2364	2	3
38654705745	2359	2	2
49392123953	2348	2	2
55834574849	2341	2	2
75161927712	2325	2	2
60129542215	2241	2	2
98784247822	2224	2	2
120259084294	2162	2	3
107374182413	2154	2	6
2147483675	2095	2	2
75161927695	2049	2	2
6442451016	2031	2	2
94489280557	2027	2	2
30064771140	2023	2	2
70866960431	2014	2	2
2147483710	2007	2	2
51539607597	1999	2	2
8589934621	1991	2	2
6442451011	1985	2	6
81604378653	1977	2	2
47244640320	1963	2	2
176093659147	1960	2	2
81604378685	1960	2	2
25769803801	1959	2	2
60129542179	1958	2	2
49392123981	1930	2	2
57982058525	1929	2	2
79456894993	1918	2	2
51539607620	1917	2	2
57982058507	1910	2	2
90194313244	1909	2	3
81604378628	1905	2	2
60129542166	1878	2	3
109521666063	1844	2	3
64424509495	1827	2	6
184683593733	1811	2	2
55834574850	1790	2	3
55834574885	1777	2	2
2147483746	1771	2	2
169651208207	1751	2	2
32212254780	1742	2	3
42949672999	1741	2	6
25769803843	1735	2	2
6442451004	1735	2	2
182536110087	1723	2	2
45097156656	1723	2	2
32212254799	1718	2	2
64424509482	1710	2	2
83751862326	1703	2	2
100931731505	1689	2	2
83751862280	1681	2	2
148176371728	1679	2	3
133143986210	1679	2	2
2147483674	1679	2	2
55834574889	1678	2	2
38654705708	1659	2	3
25769803778	1659	2	6
62277025818	1656	2	3
92341796881	1654	2	6
115964117020	1635	2	6
152471339017	1618	2	2
47244640279	1614	2	6
49392123954	1612	2	6
120259084331	1606	2	2
42949673031	1586	2	6
141733920790	1576	2	2
66571993093	1564	2	6
133143986184	1551	2	2
120259084307	1547	2	2
19327352881	1538	2	3
75161927689	1536	2	3
53687091215	1520	2	2
6442451037	1508	2	2
40802189377	1487	2	2
2147483665	1474	2	2
75161927687	1449	2	2
27917287492	1445	2	6
126701535250	1442	2	3
79456895032	1438	2	2
143881404438	1435	2	2
154618822684	1432	2	2
60129542154	1420	2	3
49392123966	1417	2	2
64424509483	1413	2	2
107374182420	1408	2	2
173946175493	1405	2	2
25769803818	1399	2	2
6442450968	1395	2	2
169651208195	1386	2	2
77309411369	1386	2	2
81604378649	1360	2	2
81604378630	1356	2	3
85899345931	1354	2	2
75161927744	1350	2	2
40802189367	1348	2	2
47244640315	1343	2	2
30064771151	1341	2	2
92341796894	1337	2	6
38654705688	1332	2	3
42949673026	1316	2	2
148176371735	1307	2	2
150323855365	1292	2	2
53687091263	1287	2	2
49392123924	1287	2	6
2147483689	1275	2	3
85899345968	1271	2	3
